"","time","rating_sem_k","rating_com_k25","dia","ano"
"1","corinthians",1142.20027367894,1166.9527513218,"15/08/1971",1971
"2","corinthians",1142.1760065665,1166.61605739866,"21/08/1971",1971
"3","corinthians",1142.90534007141,1183.97197762001,"26/08/1971",1971
"4","corinthians",1142.72789853423,1176.85475260374,"08/09/1971",1971
"5","corinthians",1143.10972802234,1186.20455028825,"11/09/1971",1971
"6","corinthians",1143.38355138471,1191.98351886922,"22/09/1971",1971
"7","corinthians",1144.24764474049,1210.77074812891,"02/10/1971",1971
"8","corinthians",1143.34961349898,1185.14734050982,"30/10/1971",1971
"9","corinthians",1143.94291006669,1200.44912016837,"07/11/1971",1971
"10","corinthians",1143.897088684,1198.89801776159,"14/11/1971",1971
"11","corinthians",1143.69173396892,1193.24439845585,"24/11/1971",1971
"12","corinthians",1142.15983238232,1154.8369361197,"04/12/1971",1971
"13","corinthians",1142.87308164688,1172.88418338239,"08/12/1971",1971
"14","corinthians",1142.80546600322,1170.49062503476,"10/09/1972",1972
"15","corinthians",1142.58091157648,1164.81568614989,"17/09/1972",1972
"16","corinthians",1142.2520416963,1154.63282048689,"01/10/1972",1972
"17","corinthians",1141.23152237982,1128.06487777186,"22/10/1972",1972
"18","corinthians",1143.39592683896,1182.01831898235,"08/11/1972",1972
"19","corinthians",1143.2781923793,1179.15017692975,"12/11/1972",1972
"20","corinthians",1142.96184734646,1168.80804720643,"29/11/1972",1972
"21","corinthians",1143.13292883552,1173.13492689356,"14/12/1972",1972
"22","corinthians",1143.06470764414,1170.58969682251,"17/12/1972",1972
"23","corinthians",1142.37945388134,1153.41610774104,"25/08/1973",1973
"24","corinthians",1141.87906551108,1144.35967785078,"09/09/1973",1973
"25","corinthians",1141.49027385995,1135.85269054513,"22/09/1973",1973
"26","corinthians",1142.66107019549,1161.80605546027,"07/10/1973",1973
"27","corinthians",1143.8989322237,1189.50014775312,"25/10/1973",1973
"28","corinthians",1141.79497093703,1140.98407190129,"18/11/1973",1973
"29","corinthians",1142.26588294729,1153.48027478452,"24/11/1973",1973
"30","corinthians",1142.08682055629,1150.94382374733,"02/12/1973",1973
"31","corinthians",1141.49880799963,1134.60674540485,"08/12/1973",1973
"32","corinthians",1140.89831291973,1122.4773086614,"15/12/1973",1973
"33","corinthians",1140.7969586339,1119.84209700624,"12/01/1974",1974
"34","corinthians",1141.21082405394,1132.01690230335,"16/01/1974",1974
"35","corinthians",1140.29135770354,1110.17785817303,"24/01/1974",1974
"36","corinthians",1140.49625704676,1121.84361460398,"06/02/1974",1974
"37","corinthians",1140.63778393194,1130.87217481354,"17/03/1974",1974
"38","corinthians",1141.11194153875,1145.32085110501,"24/03/1974",1974
"39","corinthians",1141.33680921684,1149.24499422486,"06/04/1974",1974
"40","corinthians",1140.1042917335,1117.7983918134,"23/04/1974",1974
"41","corinthians",1140.46621127498,1128.17248197426,"04/05/1974",1974
"42","corinthians",1139.94502388395,1116.46088758473,"11/05/1974",1974
"43","corinthians",1139.73355846852,1114.05563736078,"18/05/1974",1974
"44","corinthians",1140.26516047254,1126.56956796028,"01/06/1974",1974
"45","corinthians",1140.15690278131,1127.0888668088,"30/06/1974",1974
"46","corinthians",1139.28805326988,1107.6454903987,"06/07/1974",1974
"47","corinthians",1139.10231731541,1103.64155244561,"11/07/1974",1974
"48","corinthians",1138.58105944218,1094.81226550813,"20/08/1975",1975
"49","corinthians",1138.86514147058,1105.57817128899,"31/08/1975",1975
"50","corinthians",1138.78644720403,1103.69565253743,"07/09/1975",1975
"51","corinthians",1139.23259639776,1117.96523248348,"09/10/1975",1975
"52","corinthians",1138.27971399242,1099.71164277316,"23/10/1975",1975
"53","corinthians",1138.82095305322,1116.68234036904,"29/10/1975",1975
"54","corinthians",1139.28416829343,1130.90926179083,"02/11/1975",1975
"55","corinthians",1139.10333472995,1128.10717483499,"06/11/1975",1975
"56","corinthians",1139.84699635169,1148.8720813338,"16/11/1975",1975
"57","corinthians",1140.15891474282,1155.90639265343,"20/11/1975",1975
"58","corinthians",1139.3032901862,1139.55443934318,"30/11/1975",1975
"59","corinthians",1139.62397404855,1150.32927954313,"03/12/1975",1975
"60","corinthians",1139.94113387465,1159.47109744142,"29/08/1976",1976
"61","corinthians",1139.11690796787,1141.13397289605,"12/09/1976",1976
"62","corinthians",1140.17270117819,1162.47759627205,"25/09/1976",1976
"63","corinthians",1140.72702958123,1178.25321261997,"29/09/1976",1976
"64","corinthians",1140.19811751751,1167.42547126485,"13/10/1976",1976
"65","corinthians",1139.61861846541,1152.38539807996,"16/10/1976",1976
"66","corinthians",1140.09243260532,1165.90748855315,"20/10/1976",1976
"67","corinthians",1140.31828587715,1171.00703126057,"31/10/1976",1976
"68","corinthians",1140.07289918576,1167.52345515517,"11/11/1976",1976
"69","corinthians",1141.15714332195,1195.03284131444,"18/11/1976",1976
"70","corinthians",1141.6527059216,1211.17623792637,"21/11/1976",1976
"71","corinthians",1141.18003927326,1204.6143590195,"23/10/1977",1977
"72","corinthians",1141.08077846438,1199.0684186012,"02/11/1977",1977
"73","corinthians",1141.39132299044,1205.22049267704,"05/11/1977",1977
"74","corinthians",1141.946052765,1220.14966931119,"10/11/1977",1977
"75","corinthians",1141.68454158341,1208.77515881426,"20/11/1977",1977
"76","corinthians",1142.30467009793,1227.45588060448,"04/12/1977",1977
"77","corinthians",1142.8244405554,1238.38604191266,"15/12/1977",1977
"78","corinthians",1143.3208189452,1253.8931923527,"18/12/1977",1977
"79","corinthians",1143.29166062275,1251.90167269275,"29/01/1978",1978
"80","corinthians",1143.60527649981,1259.14803965204,"01/02/1978",1978
"81","corinthians",1143.49531144158,1257.25639062572,"12/02/1978",1978
"82","corinthians",1143.13837205888,1245.350253383,"08/04/1978",1978
"83","corinthians",1144.02668603879,1261.21726957966,"23/04/1978",1978
"84","corinthians",1144.49459623316,1270.99458814953,"29/04/1978",1978
"85","corinthians",1145.03505883144,1280.05551395686,"04/05/1978",1978
"86","corinthians",1145.2059330142,1280.59371933928,"14/05/1978",1978
"87","corinthians",1145.12570900108,1280.79054987769,"21/05/1978",1978
"88","corinthians",1145.44153509463,1289.19092049462,"24/05/1978",1978
"89","corinthians",1144.8349598053,1273.02884267949,"28/05/1978",1978
"90","corinthians",1145.03684040032,1275.68955418241,"18/06/1978",1978
"91","corinthians",1145.3532676742,1284.40941327198,"21/06/1978",1978
"92","corinthians",1143.680349958,1242.8302793753,"08/07/1978",1978
"93","corinthians",1143.98908617062,1248.64767072825,"13/07/1978",1978
"94","corinthians",1142.89713839918,1225.05280471335,"20/07/1978",1978
"95","corinthians",1142.88059264522,1225.8532739146,"23/07/1978",1978
"96","corinthians",1143.19348561638,1233.17187138311,"23/02/1980",1980
"97","corinthians",1144.23341307636,1261.96918471556,"02/03/1980",1980
"98","corinthians",1144.46317340867,1268.15580898378,"09/03/1980",1980
"99","corinthians",1145.18948964844,1287.74822097222,"16/03/1980",1980
"100","corinthians",1145.35681418967,1287.66754392138,"30/03/1980",1980
"101","corinthians",1145.25434756891,1287.91274668554,"06/04/1980",1980
"102","corinthians",1146.80103125138,1320.99544218885,"26/04/1980",1980
"103","corinthians",1146.31825040347,1310.16740238814,"07/05/1980",1980
"104","corinthians",1146.65915006423,1321.62776949605,"14/05/1980",1980
"105","corinthians",1146.49152356747,1312.02587595017,"25/01/1981",1981
"106","corinthians",1146.29775828331,1305.12962353834,"28/01/1981",1981
"107","corinthians",1144.99401278208,1274.03565674456,"11/02/1981",1981
"108","corinthians",1145.78122139969,1293.25534660109,"19/02/1981",1981
"109","corinthians",1143.69537407842,1239.92556297465,"12/03/1981",1981
"110","corinthians",1142.4542402268,1209.66155017374,"21/03/1981",1981
"111","corinthians",1141.43555122815,1190.06920811498,"04/04/1981",1981
"112","corinthians",1141.36597500329,1192.95077538001,"27/02/1982",1982
"113","corinthians",1143.33753439013,1252.59497254819,"14/03/1982",1982
"114","corinthians",1143.81059949314,1265.93680359054,"17/03/1982",1982
"115","corinthians",1143.55382976596,1263.96847730981,"01/04/1982",1982
"116","corinthians",1143.39176448463,1257.4741616588,"07/04/1982",1982
"117","corinthians",1142.8590379358,1246.27009548302,"11/04/1982",1982
"118","corinthians",1142.4966605498,1241.38799305834,"23/01/1983",1983
"119","corinthians",1142.73824913392,1240.50155505872,"05/02/1983",1983
"120","corinthians",1143.51804199,1256.13641406744,"09/02/1983",1983
"121","corinthians",1143.9857826754,1264.35983236592,"23/02/1983",1983
"122","corinthians",1143.63328186089,1257.64148273698,"13/03/1983",1983
"123","corinthians",1144.44153744625,1274.48146904396,"26/03/1983",1983
"124","corinthians",1144.81661376937,1285.85802638045,"03/04/1983",1983
"125","corinthians",1144.47310678429,1282.30192424104,"13/04/1983",1983
"126","corinthians",1143.91191910989,1283.01749835223,"20/04/1983",1983
"127","corinthians",1143.99504703581,1293.4533308622,"30/04/1983",1983
"128","corinthians",1143.80650745828,1286.89090599993,"03/02/1984",1984
"129","corinthians",1144.11874012979,1293.49925533685,"05/02/1984",1984
"130","corinthians",1143.74222114596,1281.38550124594,"19/02/1984",1984
"131","corinthians",1144.32707617788,1293.00153602503,"26/02/1984",1984
"132","corinthians",1144.76082436346,1303.73097337155,"11/03/1984",1984
"133","corinthians",1144.88935104723,1305.01617897037,"21/03/1984",1984
"134","corinthians",1144.69329821102,1296.8724587434,"24/03/1984",1984
"135","corinthians",1143.46712553359,1271.25127877297,"14/04/1984",1984
"136","corinthians",1143.4362455509,1272.34747516808,"18/04/1984",1984
"137","corinthians",1144.37105545848,1294.35624875323,"25/04/1984",1984
"138","corinthians",1144.28951160377,1304.68549183761,"06/05/1984",1984
"139","corinthians",1143.44576198935,1284.75386455549,"13/05/1984",1984
"140","corinthians",1143.29478404104,1285.85256847893,"27/01/1985",1985
"141","corinthians",1142.79549366874,1273.29776077366,"30/01/1985",1985
"142","corinthians",1141.93127389829,1255.31708636546,"06/02/1985",1985
"143","corinthians",1142.406095536,1268.22461987147,"10/02/1985",1985
"144","corinthians",1143.65816990893,1300.71458884113,"24/02/1985",1985
"145","corinthians",1144.08761739475,1310.62897725317,"02/03/1985",1985
"146","corinthians",1143.48153121474,1297.55025527009,"27/03/1985",1985
"147","corinthians",1144.03374659691,1312.96276402071,"03/04/1985",1985
"148","corinthians",1144.53408383378,1327.28069010163,"07/04/1985",1985
"149","corinthians",1143.95684512185,1312.81242399005,"14/04/1985",1985
"150","corinthians",1142.16099721001,1268.68434664385,"10/07/1985",1985
"151","corinthians",1142.57244813365,1278.79978735046,"13/07/1985",1985
"152","corinthians",1141.37291996529,1252.89644183643,"21/07/1985",1985
"153","corinthians",1141.94308085321,1269.37703173861,"31/08/1986",1986
"154","corinthians",1142.24780137018,1274.6743993276,"04/09/1986",1986
"155","corinthians",1142.63097436039,1275.91949376793,"14/09/1986",1986
"156","corinthians",1142.16684094312,1267.68576009085,"27/09/1986",1986
"157","corinthians",1142.07417478621,1263.87903148918,"01/10/1986",1986
"158","corinthians",1141.8868720899,1257.73687024473,"12/10/1986",1986
"159","corinthians",1142.47769570836,1273.57163267586,"22/10/1986",1986
"160","corinthians",1143.0333075236,1283.19491636873,"02/11/1986",1986
"161","corinthians",1143.25246877982,1288.47603952139,"16/11/1986",1986
"162","corinthians",1144.03390088342,1308.25094626434,"27/11/1986",1986
"163","corinthians",1143.65584522876,1295.56319233421,"04/12/1986",1986
"164","corinthians",1143.65690284728,1295.68392924638,"07/12/1986",1986
"165","corinthians",1143.18939272553,1282.90077355631,"28/01/1987",1987
"166","corinthians",1143.1269606676,1282.29507770298,"04/02/1987",1987
"167","corinthians",1142.21809885018,1258.70741091667,"08/02/1987",1987
"168","corinthians",1142.0543389328,1256.79272707002,"13/09/1987",1987
"169","corinthians",1141.37995948512,1240.94138348892,"18/09/1987",1987
"170","corinthians",1140.7648624452,1225.56356863512,"27/09/1987",1987
"171","corinthians",1140.15436551044,1219.96269535408,"18/10/1987",1987
"172","corinthians",1140.17811290183,1220.78855247968,"24/10/1987",1987
"173","corinthians",1140.48928045376,1229.2681439189,"31/10/1987",1987
"174","corinthians",1139.39927407641,1206.00855362061,"12/11/1987",1987
"175","corinthians",1139.34100020528,1207.90721331245,"15/11/1987",1987
"176","corinthians",1138.24651442299,1186.94505195986,"04/09/1988",1988
"177","corinthians",1138.19074653449,1188.71929525431,"07/09/1988",1988
"178","corinthians",1137.95369054622,1188.36577749969,"17/09/1988",1988
"179","corinthians",1135.63345843168,1143.80868624754,"16/10/1988",1988
"180","corinthians",1135.54857007275,1143.58693354862,"23/10/1988",1988
"181","corinthians",1135.5547774934,1146.08835303244,"30/10/1988",1988
"182","corinthians",1135.86329521509,1159.56153867593,"16/11/1988",1988
"183","corinthians",1136.45167921837,1176.88706035673,"24/11/1988",1988
"184","corinthians",1135.95494786114,1168.12885658324,"01/12/1988",1988
"185","corinthians",1135.87424887216,1170.62121867069,"04/12/1988",1988
"186","corinthians",1136.42785831007,1185.41302145521,"07/12/1988",1988
"187","corinthians",1135.88464415948,1172.79445292052,"14/12/1988",1988
"188","corinthians",1134.71247441058,1150.93711820058,"07/09/1989",1989
"189","corinthians",1135.45786956118,1187.36296338378,"24/09/1989",1989
"190","corinthians",1135.93812911523,1201.67096995725,"01/10/1989",1989
"191","corinthians",1136.4312343444,1219.22813307133,"14/10/1989",1989
"192","corinthians",1136.76915986676,1228.73105572463,"22/10/1989",1989
"193","corinthians",1136.74225047022,1227.49401345313,"29/10/1989",1989
"194","corinthians",1136.2254306218,1215.38750823644,"04/11/1989",1989
"195","corinthians",1135.4967921139,1206.59976733733,"29/11/1989",1989
"196","corinthians",1134.91801825698,1196.3020241489,"03/12/1989",1989
"197","corinthians",1134.00721264551,1178.92162177469,"25/08/1990",1990
"198","corinthians",1134.3542822169,1190.73624690724,"09/09/1990",1990
"199","corinthians",1135.11866226741,1212.38729313797,"19/09/1990",1990
"200","corinthians",1135.37590948779,1223.98741379094,"30/09/1990",1990
"201","corinthians",1136.15836413978,1246.9562620815,"07/10/1990",1990
"202","corinthians",1135.8825371179,1241.81574403737,"14/10/1990",1990
"203","corinthians",1135.79837561146,1240.78679133517,"20/10/1990",1990
"204","corinthians",1135.1485969207,1229.22378875593,"28/10/1990",1990
"205","corinthians",1135.62210437556,1240.94717448565,"04/11/1990",1990
"206","corinthians",1134.48042606757,1218.83735109004,"18/11/1990",1990
"207","corinthians",1134.9678107572,1233.31628398803,"24/11/1990",1990
"208","corinthians",1135.36325000543,1247.59231690776,"06/12/1990",1990
"209","corinthians",1136.14973944089,1276.39418165155,"16/12/1990",1990
"210","corinthians",1135.96986353261,1272.41958771397,"03/02/1991",1991
"211","corinthians",1135.37500208751,1258.39903950486,"16/02/1991",1991
"212","corinthians",1135.36042952938,1259.20019541379,"24/02/1991",1991
"213","corinthians",1136.49174237202,1289.55547419585,"06/03/1991",1991
"214","corinthians",1136.51626535681,1288.48701097112,"17/03/1991",1991
"215","corinthians",1136.42845404009,1286.93101357143,"24/03/1991",1991
"216","corinthians",1136.82259743008,1302.09919562037,"07/04/1991",1991
"217","corinthians",1136.8196319466,1303.82666961838,"20/04/1991",1991
"218","corinthians",1136.52117855018,1297.9057206071,"01/05/1991",1991
"219","corinthians",1137.21049106094,1317.79612628011,"19/05/1991",1991
"220","corinthians",1136.19686080833,1295.17142543939,"26/01/1992",1992
"221","corinthians",1136.16919733823,1293.80658511781,"02/02/1992",1992
"222","corinthians",1137.16003241111,1320.33338490218,"16/02/1992",1992
"223","corinthians",1136.57569643047,1306.00206392841,"19/02/1992",1992
"224","corinthians",1137.04775102996,1319.24898641283,"07/03/1992",1992
"225","corinthians",1137.03050089511,1318.42328290513,"12/03/1992",1992
"226","corinthians",1137.57249767371,1330.17590677229,"12/04/1992",1992
"227","corinthians",1136.92294519695,1314.76561734146,"26/04/1992",1992
"228","corinthians",1136.18834926885,1301.0251691829,"23/05/1992",1992
"229","corinthians",1135.35106663004,1283.32875247666,"13/06/1992",1992
"230","corinthians",1136.79786183583,1318.00768802995,"28/06/1992",1992
"231","corinthians",1136.62167870425,1316.37642087963,"05/07/1992",1992
"232","corinthians",1138.02354852526,1357.91037818611,"03/10/1993",1993
"233","corinthians",1138.77240870282,1373.89293342451,"09/10/1993",1993
"234","corinthians",1139.52980321174,1390.74743531645,"12/10/1993",1993
"235","corinthians",1139.9703837883,1403.43097371102,"16/10/1993",1993
"236","corinthians",1140.76528630901,1418.10187420339,"31/10/1993",1993
"237","corinthians",1141.08863075248,1428.03409551309,"07/11/1993",1993
"238","corinthians",1141.56634567683,1437.4092071632,"10/11/1993",1993
"239","corinthians",1141.98299306337,1446.99898448088,"20/11/1993",1993
"240","corinthians",1141.19320881093,1426.4242424914,"01/12/1993",1993
"241","corinthians",1141.01292282466,1421.46622467111,"05/12/1993",1993
"242","corinthians",1141.12511808247,1420.07617397226,"17/08/1994",1994
"243","corinthians",1141.09376334604,1417.46522343842,"21/08/1994",1994
"244","corinthians",1141.09087749226,1420.82191439677,"31/08/1994",1994
"245","corinthians",1141.53660331481,1431.99460586092,"03/09/1994",1994
"246","corinthians",1141.31111433366,1421.35721988049,"25/09/1994",1994
"247","corinthians",1142.78872739294,1451.52662305332,"09/10/1994",1994
"248","corinthians",1142.56153410425,1447.45596223437,"15/10/1994",1994
"249","corinthians",1142.97261460515,1455.30796492324,"23/10/1994",1994
"250","corinthians",1143.27062755884,1456.49934953487,"29/10/1994",1994
"251","corinthians",1142.21786934446,1424.25445236027,"06/11/1994",1994
"252","corinthians",1142.1181645048,1419.69767146151,"09/11/1994",1994
"253","corinthians",1140.58123226312,1381.19859398215,"20/11/1994",1994
"254","corinthians",1140.0226886931,1368.48414809943,"23/11/1994",1994
"255","corinthians",1139.01415620046,1344.38881850554,"30/11/1994",1994
"256","corinthians",1138.83917529629,1342.02565240735,"04/12/1994",1994
"257","corinthians",1138.79777517166,1337.06561546961,"11/12/1994",1994
"258","corinthians",1138.08708812312,1321.88202093655,"15/12/1994",1994
"259","corinthians",1136.50190350663,1284.22420890136,"30/08/1995",1995
"260","corinthians",1135.25704965435,1257.24290161858,"06/09/1995",1995
"261","corinthians",1135.70402186387,1269.35831348286,"09/09/1995",1995
"262","corinthians",1134.99710157565,1255.99339351974,"17/09/1995",1995
"263","corinthians",1135.56255151581,1272.18055229254,"20/09/1995",1995
"264","corinthians",1134.68548045163,1248.39847283037,"30/09/1995",1995
"265","corinthians",1135.2925311716,1262.63569615683,"14/10/1995",1995
"266","corinthians",1135.55544183488,1272.38600549947,"29/10/1995",1995
"267","corinthians",1135.22125286772,1266.9094865069,"07/11/1995",1995
"268","corinthians",1135.71923594728,1278.66420857117,"11/11/1995",1995
"269","corinthians",1135.11639519031,1264.7062974939,"24/11/1995",1995
"270","corinthians",1135.09500161936,1264.27077907046,"02/12/1995",1995
"271","corinthians",1134.39437527248,1247.12991374349,"15/08/1996",1996
"272","corinthians",1133.51965822275,1226.83814216066,"18/08/1996",1996
"273","corinthians",1133.87795328782,1239.24743550913,"20/08/1996",1996
"274","corinthians",1134.25622781915,1247.52868728463,"29/08/1996",1996
"275","corinthians",1135.05515644574,1268.62319859504,"05/09/1996",1996
"276","corinthians",1134.76061472452,1265.31654435321,"22/09/1996",1996
"277","corinthians",1134.32634488002,1254.48222299217,"13/10/1996",1996
"278","corinthians",1134.28060923033,1260.21131934469,"27/10/1996",1996
"279","corinthians",1134.49466705309,1267.23134800969,"13/11/1996",1996
"280","corinthians",1134.33036814519,1265.25989421974,"16/11/1996",1996
"281","corinthians",1133.48766662247,1242.4180949914,"24/11/1996",1996
"282","corinthians",1132.73431693365,1223.02556653022,"06/07/1997",1997
"283","corinthians",1132.87305893222,1228.45805756726,"13/07/1997",1997
"284","corinthians",1133.2954195647,1239.08127834651,"16/07/1997",1997
"285","corinthians",1133.47136356149,1245.76469721882,"27/07/1997",1997
"286","corinthians",1133.45286829397,1245.39401798666,"30/07/1997",1997
"287","corinthians",1131.98114858533,1208.4153629633,"19/08/1997",1997
"288","corinthians",1131.42804917976,1196.88947103091,"31/08/1997",1997
"289","corinthians",1132.3163930373,1220.74273436017,"11/09/1997",1997
"290","corinthians",1130.41171126823,1182.47387176839,"28/09/1997",1997
"291","corinthians",1130.90774324371,1198.85665822437,"01/10/1997",1997
"292","corinthians",1130.04378679669,1178.22949001828,"11/10/1997",1997
"293","corinthians",1127.77607491435,1126.02457614843,"01/11/1997",1997
"294","corinthians",1128.22514086044,1139.5094896739,"05/11/1997",1997
"295","corinthians",1129.77152014766,1192.59995945667,"02/08/1998",1998
"296","corinthians",1130.24170775513,1204.58570216353,"05/08/1998",1998
"297","corinthians",1131.49606359805,1240.14501157802,"15/08/1998",1998
